National Center for Education Statistics
"Number of degrees/certificates awarded at postsecondary institutions, by state and  gender: 2023-24"

Completion Year,State,Total,Male,Female
2011-12,Iowa,947,736,211
2011-12,Kansas,432,347,85
2011-12,Kentucky,349,284,65
2011-12,Louisiana,320,252,68
2011-12,Maine,78,64,14
2011-12,Maryland,"2,030","1,565",465
2011-12,Massachusetts,"1,346","1,099",247
2011-12,Michigan,"1,566","1,332",234
2011-12,Minnesota,965,812,153
2011-12,Mississippi,167,132,35
2011-12,Missouri,"1,066",900,166
2011-12,Montana,65,59,6
2011-12,Nebraska,395,319,76
2011-12,Nevada,194,150,44
2011-12,New Hampshire,176,151,25
2011-12,New Jersey,826,709,117
2011-12,New Mexico,147,122,25
2011-12,New York,"3,067","2,569",498
2011-12,North Carolina,"1,107",849,258
2011-12,North Dakota,126,115,11
2011-12,Ohio,"1,352","1,098",254
2011-12,Oklahoma,424,354,70
2011-12,Oregon,408,353,55
2011-12,Pennsylvania,"2,655","2,149",506
2011-12,Rhode Island,258,220,38
2011-12,South Carolina,361,299,62
2011-12,South Dakota,186,150,36
2011-12,Tennessee,593,488,105
2011-12,Texas,"2,027","1,682",345
2011-12,Utah,"1,311","1,190",121
2011-12,Vermont,180,157,23
2011-12,Virginia,"2,274","1,862",412
2011-12,Washington,849,709,140
2011-12,West Virginia,399,334,65
2011-12,Wisconsin,776,674,102
2011-12,Wyoming,18,14,4
2010-11,Total,"43,066","35,477","7,589"
2010-11,Alabama,519,404,115
2010-11,Alaska,51,46,5
2010-11,Arizona,"2,762","2,123",639
2010-11,Arkansas,256,222,34
2010-11,California,"3,539","3,025",514
2010-11,Colorado,851,715,136
2010-11,Connecticut,198,162,36
2010-11,Delaware,139,111,28
2010-11,District of Columbia,173,120,53
2010-11,Florida,"2,141","1,788",353
2010-11,Georgia,"1,292","1,046",246
2010-11,Hawaii,105,92,13
2010-11,Idaho,223,200,23
2010-11,Illinois,"2,437","2,017",420
2010-11,Indiana,"1,067",921,146
2010-11,Iowa,918,668,250
2010-11,Kansas,384,313,71
2010-11,Kentucky,259,220,39
2010-11,Louisiana,338,250,88
2010-11,Maine,63,51,12
2010-11,Maryland,"1,735","1,294",441
2010-11,Massachusetts,"1,210",992,218
2010-11,Michigan,"1,536","1,313",223
2010-11,Minnesota,935,772,163
2010-11,Mississippi,132,114,18
2010-11,Missouri,"1,008",866,142
2010-11,Montana,58,53,5
2010-11,Nebraska,378,330,48
2010-11,Nevada,203,157,46
2010-11,New Hampshire,155,126,29
2010-11,New Jersey,725,622,103
2010-11,New Mexico,210,158,52
2010-11,New York,"2,996","2,487",509
2010-11,North Carolina,963,769,194
2010-11,North Dakota,124,110,14
2010-11,Ohio,"1,174",937,237
2010-11,Oklahoma,329,283,46
2010-11,Oregon,379,325,54
2010-11,Pennsylvania,"2,722","2,236",486
2010-11,Rhode Island,242,198,44
2010-11,South Carolina,427,332,95
2010-11,South Dakota,166,132,34
2010-11,Tennessee,545,457,88
2010-11,Texas,"1,819","1,532",287
2010-11,Utah,"1,090",977,113
2010-11,Vermont,185,160,25
2010-11,Virginia,"1,990","1,624",366
